scenario_idx,minADE,minFDE,miss
787,0.155609,0.070340,0
788,0.123176,0.150958,0
789,0.332635,0.300236,0
790,0.165379,0.162394,0
791,0.118425,0.125067,0
792,0.120560,0.084441,0
793,0.063390,0.028354,0
794,0.973987,1.402703,0
795,0.296849,0.478347,0
796,1.377792,2.188808,1
797,0.673658,0.500104,0
798,0.498530,0.860241,0
799,0.617880,0.696239,0
800,1.200212,1.790903,0
801,0.482620,0.542906,0
802,0.236203,0.325617,0
803,0.073873,0.051599,0
804,0.478004,0.433375,0
805,0.238880,0.302998,0
806,0.226423,0.324397,0
807,1.553888,4.400776,1
808,0.269480,0.811653,0
809,0.596874,1.057061,0
810,0.388180,0.856488,0
811,0.929911,2.885127,1
812,0.425654,0.841552,0
813,0.486225,0.974805,0
814,0.449215,0.366538,0
815,1.126481,3.878632,1
816,0.080514,0.089404,0
817,0.065555,0.060641,0
818,0.112646,0.165082,0
819,0.881127,1.408766,0
820,0.106201,0.109566,0
821,0.308320,0.796932,0
822,0.812270,0.838394,0
823,1.114907,4.513841,1
824,1.730353,3.441662,1
825,0.815920,1.636526,0
826,0.452300,0.340859,0
827,0.364458,0.591109,0
828,0.405263,0.029002,0
829,0.133690,0.142876,0
830,0.064400,0.067084,0
831,3.059551,8.259015,1
832,0.301090,0.507242,0
833,0.070844,0.033310,0
834,0.067698,0.046097,0
835,2.382701,3.274514,1
836,0.234486,0.100712,0
837,0.614658,1.560645,0
838,0.542168,1.132903,0
839,0.124468,0.103047,0
840,0.065113,0.057914,0
841,0.104179,0.114237,0
842,1.241025,3.109897,1
843,0.635630,1.435681,0
844,0.504922,0.734287,0
845,1.381090,1.537048,0
846,0.654627,1.592871,0
847,0.658318,1.663386,0
848,0.447632,0.608015,0
849,0.079123,0.058416,0
850,0.091917,0.212261,0
851,0.501569,1.195892,0
852,0.368070,0.355336,0
853,0.238104,0.796648,0
854,0.063655,0.049305,0
855,0.178392,0.236883,0
856,0.494097,1.292313,0
857,0.062983,0.056720,0
858,0.099729,0.067748,0
859,0.655075,1.895781,0
860,0.373687,0.469214,0
861,0.830232,1.976671,0
862,0.349718,0.286893,0
863,0.471219,0.730805,0
864,0.083694,0.076958,0
865,0.112365,0.118589,0
866,0.306209,0.331571,0
867,0.601163,1.130724,0
868,0.583471,0.876586,0
869,0.557968,0.800661,0
870,1.684169,2.357818,1
871,0.077466,0.072305,0
872,0.093043,0.091863,0
873,0.308353,0.285887,0
874,0.608339,0.949268,0
875,0.092596,0.098988,0
876,0.838345,1.029391,0
877,0.181883,0.293671,0
878,0.115256,0.066047,0
879,0.316013,0.782438,0
880,0.069972,0.117436,0
881,0.053684,0.036988,0
882,0.121672,0.109674,0
883,0.186011,0.147841,0
884,0.921412,1.456814,0
885,2.720420,5.474528,1
886,0.813898,1.183656,0
887,0.215965,0.246946,0
888,0.406413,0.640037,0
889,0.115136,0.112308,0
890,0.516225,1.075451,0
891,0.052467,0.035129,0
892,0.044524,0.028800,0
893,0.082860,0.091183,0
894,0.376864,0.230377,0
895,0.615334,0.898075,0
896,0.344508,0.632479,0
897,0.196297,0.123826,0
898,0.254940,0.171919,0
899,0.533210,0.702363,0
900,0.482343,0.498529,0
901,0.092968,0.108955,0
902,0.587315,1.072806,0
903,0.360647,0.433707,0
904,0.731189,1.350699,0
905,0.100709,0.058994,0
906,0.120486,0.090927,0
907,0.520336,0.268869,0
908,0.090088,0.095875,0
909,0.247456,0.191145,0
910,1.052956,3.011459,1
911,0.224487,0.314383,0
912,0.185683,0.417926,0
913,0.332610,0.514414,0
914,1.215060,2.818304,1
915,0.450440,0.429238,0
916,0.053570,0.031883,0
917,0.092255,0.091400,0
918,0.481663,0.662816,0
919,1.120246,2.159457,1
920,0.149642,0.123719,0
921,1.457744,3.190398,1
922,0.077424,0.059302,0
923,0.447114,0.907058,0
924,0.904998,0.357914,0
925,0.069257,0.069410,0
926,0.356722,0.684414,0
927,0.125284,0.015456,0
928,0.309857,0.569117,0
929,1.289654,2.110002,1
930,0.586055,1.156211,0
931,0.373807,0.421851,0
932,1.101975,2.005133,1
933,0.628935,1.020815,0
934,0.457171,0.917876,0
935,0.937643,2.498435,1
936,0.936172,1.669445,0
937,0.058077,0.048057,0
938,0.056373,0.046413,0
939,2.699653,8.166096,1
940,0.327848,0.611716,0
941,0.646673,0.384931,0
942,0.085819,0.147528,0
943,0.513961,1.217858,0
944,1.476459,1.599737,0
945,0.627784,1.011429,0
946,0.498463,1.019137,0
947,0.171333,0.063720,0
948,0.088247,0.063288,0
949,0.086978,0.064955,0
950,0.619089,1.255503,0
951,0.237176,0.100219,0
952,0.598310,0.825900,0
953,0.168780,0.029742,0
954,0.384030,0.417507,0
955,0.284392,0.489522,0
956,0.548923,0.989048,0
957,0.222813,0.219134,0
958,0.424927,1.032145,0
959,0.207218,0.341441,0
960,0.216548,0.260088,0
961,1.563698,2.397560,1
962,0.848308,1.410306,0
963,0.699690,1.269450,0
964,0.255933,0.340047,0
965,0.969326,2.136531,1
966,0.890950,1.495615,0
967,0.143983,0.254407,0
968,0.082842,0.092917,0
969,1.744313,4.705147,1
970,0.843701,1.411886,0
971,0.702644,2.175000,1
972,0.072505,0.072334,0
973,0.093918,0.026099,0
974,0.467917,1.483591,0
975,0.431595,0.707882,0
976,0.279936,0.308440,0
977,2.163507,3.770647,1
978,0.542700,1.081555,0
979,0.615167,1.532266,0
980,1.049426,3.412716,1
981,0.666792,0.662757,0
982,0.996364,2.469512,1
983,0.462000,1.285407,0
984,1.073662,1.736641,0
985,0.090255,0.093524,0
986,3.238171,5.259748,1
987,0.058518,0.050310,0
988,0.086594,0.078179,0
989,0.230736,0.388160,0
990,0.719132,0.881579,0
991,0.464217,0.355222,0
992,0.752343,1.319986,0
